Title	URL	Assignees	Status	Sprint	Weight	Milestone	Linked pull requests	Repository	Date
Crear vista pagina error 404	https://github.com/SchoolSyncAr/schoolsync-fe/issues/36	francopolesel	Done	Sprint 2	1			SchoolSyncAr/schoolsync-fe	
Implentacion de roles padre / admin	https://github.com/SchoolSyncAr/schoolsync-be/issues/20	picsfrunk	Done	Sprint 2	1			SchoolSyncAr/schoolsync-be	
Definir paleta de colores	https://github.com/SchoolSyncAr/schoolsync-fe/issues/38	calipast, francopolesel, JuanTexeira, Lopez-Sol, madescoces, picsfrunk	Done	Sprint 2	1			SchoolSyncAr/schoolsync-fe	
Definir fuente	https://github.com/SchoolSyncAr/schoolsync-fe/issues/39	calipast, francopolesel, JuanTexeira, Lopez-Sol, madescoces, picsfrunk	Done	Sprint 2	1			SchoolSyncAr/schoolsync-fe	
Router as router object	https://github.com/SchoolSyncAr/schoolsync-fe/issues/40	madescoces	Done	Sprint 3	3	UX/UI		SchoolSyncAr/schoolsync-fe	
Correción de problema con packages para test.	https://github.com/SchoolSyncAr/schoolsync-be/issues/21	madescoces	Done	Sprint 2	1			SchoolSyncAr/schoolsync-be	
Crear endPoints GetChildren	https://github.com/SchoolSyncAr/schoolsync-be/issues/23	calipast	Done	Sprint 4	3	SPRINT 4		SchoolSyncAr/schoolsync-be	
Login con JWT	https://github.com/SchoolSyncAr/schoolsync-be/issues/25	madescoces	Done	Sprint 2	4			SchoolSyncAr/schoolsync-be	
Persitencia	https://github.com/SchoolSyncAr/schoolsync-be/issues/26	madescoces	Done	Sprint 2	2			SchoolSyncAr/schoolsync-be	
Ver tema errorMessage	https://github.com/SchoolSyncAr/schoolsync-fe/issues/47	francopolesel	Done	Sprint 3	1			SchoolSyncAr/schoolsync-fe	
Armar PPT para presentacion	https://github.com/SchoolSyncAr/schoolsync-fe/issues/48	calipast, francopolesel, JuanTexeira, Lopez-Sol, madescoces, picsfrunk	Done	Sprint 2	4			SchoolSyncAr/schoolsync-fe	
Modificar service Auth	https://github.com/SchoolSyncAr/schoolsync-fe/issues/49	picsfrunk	Done	Sprint 3	3			SchoolSyncAr/schoolsync-fe	
Implementar orden de notificaciones por peso	https://github.com/SchoolSyncAr/schoolsync-be/issues/30	JuanTexeira	Done	Sprint 3	2			SchoolSyncAr/schoolsync-be	
Implementar orden de notificaciones por mas reciente	https://github.com/SchoolSyncAr/schoolsync-be/issues/31	francopolesel	Done	Sprint 3	2			SchoolSyncAr/schoolsync-be	
Login: mejorar vista	https://github.com/SchoolSyncAr/schoolsync-fe/issues/51	calipast, madescoces	Done	Sprint 3	2	UX/UI		SchoolSyncAr/schoolsync-fe	
Aplicar paleta de colores y fuente en general	https://github.com/SchoolSyncAr/schoolsync-fe/issues/52	calipast, madescoces	Done	Sprint 3	2	UX/UI		SchoolSyncAr/schoolsync-fe	
Corregir redireccionamiento a la página de inicio de sesión si no hay usuario logueado	https://github.com/SchoolSyncAr/schoolsync-fe/issues/53	francopolesel	Done	Sprint 4	2	SPRINT 4		SchoolSyncAr/schoolsync-fe	
